seriec_179_esp.pdf in page 28:   '$9.032.00', '$300.000,00', '$78.09'
seriec_328_esp.pdf in page 105:   '$55.00', '$5.000,00', '$30.000,00', '$10.000,00'
seriec_328_esp.pdf in page 107:   '$2,422.00', '$50,000'
seriec_300_esp.pdf in page 15:   '$3.009.90'
seriec_300_esp.pdf in page 16:   '$2.192.519', '$949.629', '$3.142.148', '$5.168.270', '$19.233.331'
seriec_300_esp.pdf in page 17:   '$3.000.000', '$368.263', '$396.894', '$629.007', '$456.055', '$1.117.576', '$623.891', '$730.007', '$489.143', '$349.947', '$397.653'
seriec_276_esp.pdf in page 44:   '$10,000.00'
seriec_276_esp.pdf in page 45:   '$3,364.00'
seriec_130_esp.pdf in page 77:   '$8.000,00', '$4.000,00', '$2.000,00'
seriec_130_esp.pdf in page 85:   '$37.995,94', '$50.000,00'
seriec_130_esp.pdf in page 86:   '$6,000.00'
seriec_136_esp.pdf in page 42:   '$66.881'
seriec_136_esp.pdf in page 45:   '$50.000,00'
seriec_136_esp.pdf in page 46:   '$3.000,00', '$21.000,00'
seriec_136_esp.pdf in page 47:   '$50.000,00', '$8.000,00', '$8.000,00', '$8.000,00', '$74.000,00', '$100.000,00'
seriec_136_esp.pdf in page 48:   '$80.000,00', '$80.000,00', '$30.000', '$10.000,00', '$100.000,00', '$80.000,00', '$80.000,00', '$30.000,00', '$30.000,00', '$30.000,00', '$30.000,00', '$30.000,00', '$30.000,00', '$30.000,00', '$10.000,00', '$480.000,00'
seriec_136_esp.pdf in page 52:   '$5.000,00'
seriec_193_esp.pdf in page 52:   '$30,00', '$15.000,00'
seriec_193_esp.pdf in page 56:   '$11,610.71'
seriec_193_esp.pdf in page 57:   '$5,072.44', '$11,600', '$15,000.00'
CtIDH_Casos_Esp_2006.pdf in page 102:   '$20.000,00'
CtIDH_Casos_Esp_2006.pdf in page 103:   '$25.000,00', '$5.000,00'
CtIDH_Casos_Esp_2006.pdf in page 104:   '$8.000,00', '$10.000,00', '$3.000,00', '$9.000,00'
CtIDH_Casos_Esp_2006.pdf in page 216:   '$2.500'
CtIDH_Casos_Esp_2006.pdf in page 322:   '$448,761,412', '$2,000', '$50.000'
CtIDH_Casos_Esp_2006.pdf in page 326:   '$200'
CtIDH_Casos_Esp_2006.pdf in page 327:   '$300,00'
CtIDH_Casos_Esp_2006.pdf in page 329:   '$10.000,00', '$15.000,00', '$1.000,00'
CtIDH_Casos_Esp_2006.pdf in page 330:   '$5.000,00'
CtIDH_Casos_Esp_2006.pdf in page 331:   '$30.000,00', '$10.000,00', '$1.500,00', '$2.000,00'
CtIDH_Casos_Esp_2006.pdf in page 482:   '$3.000', '$16.000'
CtIDH_Casos_Esp_2006.pdf in page 604:   '$56.000,00', '$347.321,00', '$10.000.000'
CtIDH_Casos_Esp_2006.pdf in page 605:   '$450.000,00'
CtIDH_Casos_Esp_2006.pdf in page 610:   '$10.000,00'
CtIDH_Casos_Esp_2006.pdf in page 712:   '$50.000,00', '$5.000,00', '$3.000,00', '$10.000'
CtIDH_Casos_Esp_2006.pdf in page 713:   '$8.000,00', '$8.000,00', '$3.000,00'
CtIDH_Casos_Esp_2006.pdf in page 719:   '$10.000,00', '$8.000,00', '$2.000,00'
CtIDH_Casos_Esp_2006.pdf in page 811:   '$28.881,90', '$28.299,62', '$27.135,03', '$27.023,15'
CtIDH_Casos_Esp_2006.pdf in page 812:   '$150', '$175.000,00'
CtIDH_Casos_Esp_2006.pdf in page 813:   '$27,145.44', '$10,213.97'
CtIDH_Casos_Esp_2006.pdf in page 817:   '$10.000,00', '$10.000,00', '$10.000,00', '$10.000,00'
CtIDH_Casos_Esp_2006.pdf in page 818:   '$1.500,00'
CtIDH_Casos_Esp_2006.pdf in page 819:   '$25.000,00', '$5.000,00', '$12.500,00'
CtIDH_Casos_Esp_2006.pdf in page 820:   '$10.000,00', '$5.000,00', '$10.000,00', '$12.500,00'
CtIDH_Casos_Esp_2006.pdf in page 824:   '$11.000,00'
CtIDH_Casos_Esp_2006.pdf in page 865:   '$102.000.000'
CtIDH_Casos_Esp_2006.pdf in page 967:   '$2.260,46'
CtIDH_Casos_Esp_2006.pdf in page 969:   '$1.000,00'
CtIDH_Casos_Esp_2006.pdf in page 970:   '$25.000,00', '$1.000,00'
CtIDH_Casos_Esp_2006.pdf in page 977:   '$20.000,00', '$10.000,00'
CtIDH_Casos_Esp_2006.pdf in page 1032:   '$350,00'
CtIDH_Casos_Esp_2006.pdf in page 1033:   '$323,40', '$323,40', '$416,00', '$92,60'
CtIDH_Casos_Esp_2006.pdf in page 1059:   '$10.000,00', '$67.550,00', '$41.850,00', '$80.000,00', '$50.000,00', '$25.000,00'
CtIDH_Casos_Esp_2006.pdf in page 1060:   '$50.000,00', '$15.000,00', '$25.000,00'
CtIDH_Casos_Esp_2006.pdf in page 1061:   '$308,00'
CtIDH_Casos_Esp_2006.pdf in page 1064:   '$10.000,00', '$1.500,00'
CtIDH_Casos_Esp_2006.pdf in page 1065:   '$323,40'
CtIDH_Casos_Esp_2006.pdf in page 1067:   '$50.000,00', '$30.000,00', '$10.000,00', '$25.000,00', '$10.000,00'
CtIDH_Casos_Esp_2006.pdf in page 1070:   '$10,000,00'
CtIDH_Casos_Esp_2006.pdf in page 1152:   '$7.500.000', '$5.000.000'
CtIDH_Casos_Esp_2006.pdf in page 1153:   '$5.000.000', '$1.000.000'
CtIDH_Casos_Esp_2006.pdf in page 1226:   '$19.075.000', '$26.705.000'
CtIDH_Casos_Esp_2006.pdf in page 1239:   '$11.074', '$4.553', '$15.627', '$4.895.70', '$44.225.68'
CtIDH_Casos_Esp_2006.pdf in page 1325:   '$5.000,00'
CtIDH_Casos_Esp_2006.pdf in page 1326:   '$100.000,00', '$20.000,00', '$10.000,00'
CtIDH_Casos_Esp_2006.pdf in page 1327:   '$75,000,00', '$25,000,00'
CtIDH_Casos_Esp_2006.pdf in page 1331:   '$5,000,00'
CtIDH_Casos_Esp_2006.pdf in page 1360:   '$30.000,000'
CtIDH_Casos_Esp_2006.pdf in page 1436:   '$4.638'
CtIDH_Casos_Esp_2006.pdf in page 1440:   '$5.000,00'
CtIDH_Casos_Esp_2006.pdf in page 1441:   '$1.000.000,00', '$20,000.00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00'
CtIDH_Casos_Esp_2006.pdf in page 1442:   '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$20.000,00', '$380.000,00'
CtIDH_Casos_Esp_2006.pdf in page 1444:   '$5.000,00'
CtIDH_Casos_Esp_2006.pdf in page 1553:   '$480'
CtIDH_Casos_Esp_2006.pdf in page 1630:   '$5.000,00'
CtIDH_Casos_Esp_2006.pdf in page 1632:   '$5.000,00'
CtIDH_Casos_Esp_2006.pdf in page 1633:   '$5.000,00'
CtIDH_Casos_Esp_2006.pdf in page 1712:   '$400,00', '$30,400,00'
CtIDH_Casos_Esp_2006.pdf in page 1713:   '$10.000.00', '$12,930,56', '$400,00', '$25,000,00'
CtIDH_Casos_Esp_2006.pdf in page 1714:   '$2,000.00', '$8,000.00', '$50,000,00'
CtIDH_Casos_Esp_2006.pdf in page 1715:   '$100,000,00', '$50,000,00'
CtIDH_Casos_Esp_2006.pdf in page 1717:   '$15,000,00', '$10,000,00', '$4,000,00', '$7,000,00', '$1,000,00'
CtIDH_Casos_Esp_2006.pdf in page 1720:   '$64,117.00', '$18,628.00', '$5,250.25'
CtIDH_Casos_Esp_2006.pdf in page 1721:   '$10,000,00'
CtIDH_Casos_Esp_2006.pdf in page 1894:   '$10,536,596,944'
CtIDH_Casos_Esp_2006.pdf in page 1896:   '$5.000,00'
seriec_103_esp.pdf in page 53:   '$2.950.00', '$698.00', '$13.178.00', '$8.600.00'
seriec_103_esp.pdf in page 54:   '$16.676.00', '$500.00', '$36.000.00', '$500.00'
seriec_103_esp.pdf in page 55:   '$5,000.00', '$1,000.00', '$1,000.00', '$1,000.00', '$1,000.00', '$1,000.00'
seriec_103_esp.pdf in page 56:   '$5,000.00', '$1,000.00', '$6,000.00', '$1,000.00', '$1,000.00', '$1,000.00', '$1,000.00', '$1,000.00', '$1,000.00', '$1,000.00', '$1,000.00', '$10,000.00'
seriec_103_esp.pdf in page 57:   '$55.000,00', '$15,000.00', '$20,000.00', '$12,000.00', '$10,000.00'
seriec_103_esp.pdf in page 58:   '$10,000.00', '$8,000.00', '$2,000.00', '$10.000.00', '$50,000.00'
seriec_103_esp.pdf in page 60:   '$20,000.00', '$10,000.00', '$44,000.00'
seriec_103_esp.pdf in page 62:   '$32.816.00'
seriec_103_esp.pdf in page 63:   '$6,000.00'
seriec_103_esp.pdf in page 66:   '$10,000.00', '$6,000.00', '$1,000.00', '$1,000.00', '$1,000.00', '$1,000.00', '$44,000.00'
seriec_103_esp.pdf in page 67:   '$20,000.00', '$10,000.00', '$6,000.00', '$6,000.00', '$1,000.00', '$1,000.00', '$6,000.00'
seriec_170_esp.pdf in page 3:   '$10.444,77'
seriec_170_esp.pdf in page 53:   '$150.000,00', '$150.000,00'
seriec_170_esp.pdf in page 54:   '$1.150,09', '$1.150,09', '$6.267,59', '$1.624,93', '$350.000,00', '$175.492,44', '$3.038,87', '$818,15', '$818,15', '$13.500.000', '$3.500.000'
seriec_170_esp.pdf in page 55:   '$66.796,70', '$15.026,68', '$20.000,00', '$135.729,07', '$40.000,00'
seriec_170_esp.pdf in page 56:   '$12.000,00', '$14.500,00', '$114', '$26.588,54', '$16.143,77', '$16.143,77'
seriec_170_esp.pdf in page 57:   '$50.000,00'
seriec_170_esp.pdf in page 58:   '$50.000,00'
seriec_170_esp.pdf in page 63:   '$235.813,21', '$9.941,55', '$150.000,00', '$30.000,00', '$5.000,00'
seriec_170_esp.pdf in page 64:   '$5.000,00', '$3.500,00'
seriec_177_esp.pdf in page 11:   '$20.000,00'
CtIDH_Casos_Esp_2005.pdf in page 42:   '$45.000,00', '$47.000,00', '$65.000,00'
CtIDH_Casos_Esp_2005.pdf in page 52:   '$74,274.00', '$61,173.00'
CtIDH_Casos_Esp_2005.pdf in page 53:   '$14,519.00', '$26,996.76'
CtIDH_Casos_Esp_2005.pdf in page 177:   '$10.000,00'
CtIDH_Casos_Esp_2005.pdf in page 248:   '$66.881'
CtIDH_Casos_Esp_2005.pdf in page 251:   '$50.000,00'
CtIDH_Casos_Esp_2005.pdf in page 252:   '$3.000,00', '$21.000,00'
CtIDH_Casos_Esp_2005.pdf in page 253:   '$50.000,00', '$8.000,00', '$8.000,00', '$8.000,00', '$74.000,00', '$100.000,00'
CtIDH_Casos_Esp_2005.pdf in page 254:   '$80.000,00', '$80.000,00', '$30.000', '$10.000,00', '$100.000,00', '$80.000,00', '$80.000,00', '$30.000,00', '$30.000,00', '$30.000,00', '$30.000,00', '$30.000,00', '$30.000,00', '$30.000,00', '$10.000,00', '$480.000,00'
CtIDH_Casos_Esp_2005.pdf in page 258:   '$5.000,00'
CtIDH_Casos_Esp_2005.pdf in page 470:   '$30.767.200', '$11.079.800', '$28.310.000', '$1,427,000', '$2,510,000', '$2,790,000', '$3,600,000', '$4,100,000'
CtIDH_Casos_Esp_2005.pdf in page 471:   '$5,511,000'
CtIDH_Casos_Esp_2005.pdf in page 546:   '$13.228.00', '$10.714', '$16.436', '$50.000'
CtIDH_Casos_Esp_2005.pdf in page 547:   '$3.004', '$67.927.03', '$16.926', '$382.698.02', '$2365', '$130.025', '$2365', '$127.636', '$2.365', '$2.956,49', '$117.372,79'
CtIDH_Casos_Esp_2005.pdf in page 548:   '$2956', '$117.372,79', '$2956', '$130.233,38', '$2956', '$130.233,38', '$2956', '$53.208'
CtIDH_Casos_Esp_2005.pdf in page 550:   '$165,601,437.00', '$165,601,437', '$183,746,683.00', '$183,746,683.00', '$60,240,846.00'
CtIDH_Casos_Esp_2005.pdf in page 552:   '$5.000,00', '$20.000,00'
CtIDH_Casos_Esp_2005.pdf in page 554:   '$100.000,00'
CtIDH_Casos_Esp_2005.pdf in page 555:   '$200.000,00', '$30.000,00', '$120.000,00', '$50.000,00'
CtIDH_Casos_Esp_2005.pdf in page 559:   '$80,000,00', '$50,000.00', '$55,000.00', '$80.000,00', '$80.000,00', '$80,000,00', '$90,000,00', '$90,000,00', '$150,000,00', '$67,000,00', '$67,000,00', '$72,000,00', '$72,000,00', '$72,000,00', '$80,000,00', '$80,000,00', '$80,000,00', '$80,000,00', '$200,000,00', '$34,000,00', '$34,000,00', '$34,000,00', '$34,000,00', '$80,000,00', '$50,000,00', '$80,000,00', '$50,000,00', '$80.000,00', '$80.000,00', '$80.000,00', '$80.000,00', '$80.000,00'
CtIDH_Casos_Esp_2005.pdf in page 560:   '$80.000,00', '$80.000,00', '$80.000,00'
CtIDH_Casos_Esp_2005.pdf in page 646:   '$5.000,00'
CtIDH_Casos_Esp_2005.pdf in page 695:   '$30.000'
CtIDH_Casos_Esp_2005.pdf in page 697:   '$60.000,00', '$75.000,00', '$30.000,00', '$30.000,00', '$15.000,00'
CtIDH_Casos_Esp_2005.pdf in page 699:   '$100.000,00', '$50.000,00', '$50.000,00', '$20.000', '$50.000,00'
CtIDH_Casos_Esp_2005.pdf in page 701:   '$90.000,00', '$40.000,00'
CtIDH_Casos_Esp_2005.pdf in page 702:   '$20.000,00', '$50.000,00', '$8.000,00'
CtIDH_Casos_Esp_2005.pdf in page 707:   '$25.000,00'
CtIDH_Casos_Esp_2005.pdf in page 710:   '$89.732,94', '$17.172,27'
CtIDH_Casos_Esp_2005.pdf in page 711:   '$25.000,00', '$20.000,00', '$5.000,00'
CtIDH_Casos_Esp_2005.pdf in page 831:   '$8.000,00', '$4.000,00', '$2.000,00'
CtIDH_Casos_Esp_2005.pdf in page 839:   '$37.995,94', '$50.000,00'
CtIDH_Casos_Esp_2005.pdf in page 840:   '$6,000.00'
CtIDH_Casos_Esp_2005.pdf in page 900:   '$11.248,80', '$102.748,80'
CtIDH_Casos_Esp_2005.pdf in page 904:   '$2.000'
CtIDH_Casos_Esp_2005.pdf in page 905:   '$7.200,00', '$5.110'
CtIDH_Casos_Esp_2005.pdf in page 1126:   '$5.000,00', '$18.525,81'
CtIDH_Casos_Esp_2005.pdf in page 1129:   '$11.520,30'
CtIDH_Casos_Esp_2005.pdf in page 1250:   '$950.000,00'
CtIDH_Casos_Esp_2005.pdf in page 1257:   '$25.668,86', '$5.500,00'
CtIDH_Casos_Esp_2005.pdf in page 1258:   '$15.000,00'
CtIDH_Casos_Esp_2005.pdf in page 1376:   '$3,000.00'
CtIDH_Casos_Esp_2005.pdf in page 1379:   '$10,000.00'
CtIDH_Casos_Esp_2005.pdf in page 1386:   '$1,200,000.00'
CtIDH_Casos_Esp_2005.pdf in page 1387:   '$10,000.00', '$68,213.75', '$32,681.61'
CtIDH_Casos_Esp_2005.pdf in page 1388:   '$45,000.00', '$27,000.00', '$10,000.00', '$45,000.00', '$8,000.00'
CtIDH_Casos_Esp_2005.pdf in page 1587:   '$20.000,00'
CtIDH_Casos_Esp_2005.pdf in page 1588:   '$20.000,00', '$250.000,00'
CtIDH_Casos_Esp_2005.pdf in page 1589:   '$250.000,00'
seriec_092_esp.pdf in page 37:   '$3445', '$345', '$345'
seriec_092_esp.pdf in page 47:   '$9$9'
CtIDH_Casos_Esp_2015.pdf in page 178:   '$50.000', '$20.000'
CtIDH_Casos_Esp_2015.pdf in page 281:   '$500,000', '$60.000,00', '$18.000,00', '$12.000,00'
CtIDH_Casos_Esp_2015.pdf in page 282:   '$692,424.44', '$1,800', '$515', '$588,031.44'
CtIDH_Casos_Esp_2015.pdf in page 283:   '$692,424.44', '$145.500,00'
CtIDH_Casos_Esp_2015.pdf in page 284:   '$9.000,00', '$60,000'
CtIDH_Casos_Esp_2015.pdf in page 285:   '$10.000,00', '$5.000,00', '$5.000,00'
CtIDH_Casos_Esp_2015.pdf in page 373:   '$30.000,00', '$30.000,00', '$20.000,00'
CtIDH_Casos_Esp_2015.pdf in page 374:   '$500,00'
CtIDH_Casos_Esp_2015.pdf in page 375:   '$80.000,00', '$80.000,00', '$50.000,00'
CtIDH_Casos_Esp_2015.pdf in page 377:   '$60.000', '$35.000', '$20.000', '$10.000', '$10.000', '$10.000', '$10.000', '$10.000', '$10.000'
CtIDH_Casos_Esp_2015.pdf in page 381:   '$10.000,00'
CtIDH_Casos_Esp_2015.pdf in page 541:   '$3.0'
CtIDH_Casos_Esp_2015.pdf in page 776:   '$24.001,00'
CtIDH_Casos_Esp_2015.pdf in page 782:   '$41.423,75'
CtIDH_Casos_Esp_2015.pdf in page 865:   '$50.000,00', '$5.000,00'
CtIDH_Casos_Esp_2015.pdf in page 920:   '$3.009.90'
CtIDH_Casos_Esp_2015.pdf in page 921:   '$2.192.519', '$949.629', '$3.142.148', '$5.168.270', '$19.233.331'
CtIDH_Casos_Esp_2015.pdf in page 922:   '$3.000.000', '$368.263', '$396.894', '$629.007', '$456.055', '$1.117.576', '$623.891', '$730.007', '$489.143', '$349.947', '$397.653'
CtIDH_Casos_Esp_2015.pdf in page 1072:   '$45,000'
CtIDH_Casos_Esp_2015.pdf in page 1073:   '$1,042,072.90'
CtIDH_Casos_Esp_2015.pdf in page 1077:   '$160'
CtIDH_Casos_Esp_2015.pdf in page 1080:   '$3,457.40'
CtIDH_Casos_Esp_2015.pdf in page 1081:   '$3,457.40'
CtIDH_Casos_Esp_2015.pdf in page 1085:   '$25,000.00'
CtIDH_Casos_Esp_2015.pdf in page 1177:   '$489.44'
CtIDH_Casos_Esp_2015.pdf in page 1230:   '$500', '$1.500', '$8.000', '$5.000', '$10.000', '$2.000'
CtIDH_Casos_Esp_2015.pdf in page 1231:   '$15.0', '$20.000', '$20.19'
CtIDH_Casos_Esp_2015.pdf in page 1233:   '$500', '$1.500'
CtIDH_Casos_Esp_2015.pdf in page 1379:   '$10.000,00'
CtIDH_Casos_Esp_2015.pdf in page 1381:   '$30.000,00', '$10.000,00', '$6.651,44', '$138,30', '$2.751,80', '$482,90'
CtIDH_Casos_Esp_2015.pdf in page 1382:   '$1.982,80', '$429,60', '$4.905,55', '$2.000'
CtIDH_Casos_Esp_2015.pdf in page 1527:   '$10,000.00', '$10,000.00'
CtIDH_Casos_Esp_2015.pdf in page 1646:   '$25.000'
CtIDH_Casos_Esp_2015.pdf in page 1647:   '$10.000', '$50.000'
seriec_059_esp.pdf in page 1:   '$10.000.00'
CtIDH_Casos_Esp_2016.pdf in page 293:   '$5.845.000,00'
CtIDH_Casos_Esp_2016.pdf in page 294:   '$55.00', '$5.000,00', '$30.000,00', '$10.000,00'
CtIDH_Casos_Esp_2016.pdf in page 296:   '$2,422.00', '$50,000'
CtIDH_Casos_Esp_2016.pdf in page 487:   '$618,000'
CtIDH_Casos_Esp_2016.pdf in page 488:   '$330,000', '$110,000'
CtIDH_Casos_Esp_2016.pdf in page 525:   '$20,000.00', '$20,000.00', '$40,000.00'
CtIDH_Casos_Esp_2016.pdf in page 526:   '$5,000.00', '$5.000,00', '$5.000,00', '$5.500,00', '$20,000.00', '$15,000.00'
CtIDH_Casos_Esp_2016.pdf in page 527:   '$30,000.00', '$4,841.06', '$159.616,00'
CtIDH_Casos_Esp_2016.pdf in page 571:   '$618,000'
CtIDH_Casos_Esp_2016.pdf in page 578:   '$15,000.00', '$20,000.00', '$20,000.00'
CtIDH_Casos_Esp_2016.pdf in page 701:   '$100.000', '$70.000,00'
CtIDH_Casos_Esp_2016.pdf in page 828:   '$139,66', '$105.108', '$45.764,54', '$1.678,76', '$2.770,29', '$122,24', '$54.591,48', '$180,95'
CtIDH_Casos_Esp_2016.pdf in page 944:   '$15.000'
CtIDH_Casos_Esp_2016.pdf in page 945:   '$401.55', '$168.99', '$494.99'
CtIDH_Casos_Esp_2016.pdf in page 1033:   '$521.600'
